"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",52.1600875203301,18.3214466886138,18.3214466886138
"comp 2",52.0047425210167,10.45460797816,28.7760546667739
"comp 3",51.230566538562,8.88143817030635,37.6574928370802
"comp 4",50.9898670869811,6.9035396749114,44.5610325119916
"comp 5",50.8711928143573,5.07817471123053,49.6392072232222
"comp 6",50.2267978451432,4.66407111130096,54.3032783345231
"comp 7",50.1729387540558,3.78297461657473,58.0862529510979
"comp 8",49.7863266840143,3.02271472599105,61.1089676770889
"comp 9",49.3796801026193,2.77845347262257,63.8874211497115
"comp 10",49.0131382459878,2.52340752925835,66.4108286789698
"comp 11",48.815777004544,2.21382696197636,68.6246556409462
"comp 12",48.271910443288,1.84275723231384,70.46741287326
"comp 13",47.9805161245278,1.69680018363476,72.1642130568948
"comp 14",47.5422741301533,1.56274433036411,73.7269573872589
"comp 15",47.4404092486818,1.39204542826097,75.1190028155198
"comp 16",46.7412192160296,1.23676890750234,76.3557717230222
"comp 17",46.412622076769,1.05813059275682,77.413902315779
"comp 18",45.8586826327305,0.975529191536204,78.3894315073152
"comp 19",45.6772537528935,0.967117560194424,79.3565490675096
"comp 20",45.2722425938184,0.821213184847428,80.1777622523571
"comp 21",44.8092876688103,0.805392290050832,80.9831545424079
"comp 22",44.5207850363116,0.77779701904359,81.7609515614515
"comp 23",44.3312881469996,0.704187260893665,82.4651388223451
"comp 24",44.1439762260942,0.594976410095843,83.060115232441
"comp 25",43.82380988213,0.540250459900549,83.6003656923415
"comp 26",43.1906264314158,0.514922124137713,84.1152878164793
"comp 27",43.129438431974,0.493395345902939,84.6086831623822
"comp 28",42.8908700562599,0.453368390892178,85.0620515532744
"comp 29",42.6572177083565,0.437029674327757,85.4990812276021
"comp 30",42.2311813410533,0.412005730739939,85.9110869583421
"comp 31",41.9347864121179,0.405387082606942,86.316474040949
"comp 32",41.3757678074859,0.368690952331485,86.6851649932805
"comp 33",41.1725237292924,0.349720114177639,87.0348851074581
"comp 34",40.628483439235,0.331733186272097,87.3666182937302
"comp 35",40.6157021141384,0.326519982876894,87.6931382766071
"comp 36",40.4590314810093,0.301563941066456,87.9947022176736
"comp 37",40.1388498174154,0.297822332054893,88.2925245497285
"comp 38",39.5527026278936,0.293476167155337,88.5860007168838
"comp 39",39.3191136689353,0.284083208569162,88.870083925453
"comp 40",39.2416239544642,0.258384598033183,89.1284685234861
"comp 41",38.7237960066991,0.249894920073014,89.3783634435592
"comp 42",38.632747263399,0.237841405916115,89.6162048494753
"comp 43",38.2785141458279,0.231672747680645,89.8478775971559
"comp 44",38.0388503689036,0.228568684059044,90.076446281215
"comp 45",37.8110252270535,0.218756800831403,90.2952030820464
"comp 46",37.5595964443453,0.213946592110614,90.509149674157
